,12e_EMPTY WELL_1,12e_E588_1,12e_E590_1,12e_E591_1,12e_CONTROL_1,12e_E592_1,12e_E593_1,12e_E594_1,12e_EMPTY WELL_2,12e_E588_2,12e_E590_2,12e_E591_2,12e_CONTROL_2,12e_E592_2,12e_E593_2,12e_E594_2,1e_EMPTY WELL_1,1e_E521_1,1e_E522_1,1e_E523_1,1e_CONTROL_1,1e_E524_1,1e_E525_1,1e_E526_1,1e_EMPTY WELL_2,1e_E521_2,1e_E522_2,1e_E523_2,1e_CONTROL_2,1e_E524_2,1e_E525_2,1e_E526_2,9e_EMPTY WELL_1,9e_E510_1,9e_E513_1,9e_E515_1,9e_CONTROL_1,9e_E517_1,9e_E518_1,9e_E520_1,9e_EMPTY WELL_2,9e_E510_2,9e_E513_2,9e_E515_2,9e_CONTROL_2,9e_E517_2,9e_E518_2,9e_E520_2
0,321.5,1612.1,1726.3,634.4,1538.3,1858.3,1612.8,1771.3,307.3,1493.1,1604.0,1213.7,1622.9,1829.9,1513.6,1620.9,309.8,2071.6,2038.2,1796.2,1998.2,1712.0,1921.8,2130.2,311.2,2034.2,2016.8,1845.6,1973.0,1729.6,1846.1,1926.3,304.1,2124.9,2122.0,2072.7,2549.6,1922.9,2059.2,2338.3,313.6,1980.4,2017.0,2101.8,2555.3,2051.1,2153.9,2454.4
1,321.6,1610.4,1717.8,634.2,1549.6,1858.8,1617.7,1774.6,307.1,1492.9,1595.3,1214.8,1621.5,1826.1,1509.8,1626.4,309.9,2079.0,2034.2,1803.2,1994.6,1709.8,1911.5,2133.7,311.4,2040.1,2018.5,1851.1,1966.9,1738.6,1861.8,1925.1,303.7,2126.8,2122.9,2073.5,2549.5,1914.9,2056.7,2348.2,313.2,1983.3,2015.9,2112.7,2568.3,2038.1,2164.6,2456.7
2,321.6,1605.8,1728.2,634.7,1545.7,1859.6,1617.8,1778.2,307.5,1499.3,1590.2,1212.1,1619.9,1821.6,1502.9,1629.1,309.8,2075.6,2035.0,1810.1,1993.5,1714.7,1917.0,2138.0,311.1,2042.1,2014.0,1846.2,1975.2,1734.5,1861.8,1924.8,303.9,2113.2,2123.5,2070.0,2551.8,1912.5,2058.4,2342.3,312.8,1988.9,2009.8,2120.9,2565.3,2042.5,2165.2,2456.8
3,321.5,1608.9,1728.7,634.5,1552.8,1861.2,1614.8,1780.2,306.9,1501.1,1587.8,1209.4,1627.8,1829.4,1508.4,1633.2,309.8,2077.0,2037.0,1811.0,1991.0,1710.0,1916.8,2136.0,311.4,2051.5,2015.3,1852.0,1960.5,1731.8,1872.7,1929.6,303.7,2112.7,2123.1,2078.1,2537.1,1935.2,2049.3,2335.9,313.1,1989.6,2006.0,2121.9,2563.8,2047.3,2158.8,2464.7
4,321.5,1602.3,1735.1,634.1,1551.5,1851.6,1617.3,1776.4,306.9,1501.0,1593.1,1212.5,1624.0,1833.9,1514.3,1628.3,309.8,2076.3,2047.6,1808.1,1989.7,1707.9,1901.2,2138.1,310.9,2058.3,2006.6,1852.4,1968.4,1724.5,1869.3,1921.4,303.6,2106.5,2098.9,2095.2,2530.9,1939.2,2060.9,2347.0,312.8,1976.8,1995.9,2127.0,2556.0,2041.9,2155.4,2471.0
5,321.4,1604.8,1745.4,633.2,1563.5,1863.1,1612.9,1771.9,307.4,1497.8,1596.1,1216.7,1629.3,1837.8,1508.8,1629.1,309.9,2074.7,2049.9,1816.4,1987.5,1710.9,1899.6,2147.6,311.5,2054.6,2003.0,1863.6,1971.2,1725.0,1862.3,1919.6,303.5,2093.4,2106.2,2091.1,2532.8,1932.8,2058.0,2326.5,313.0,1966.8,1990.2,2127.7,2552.3,2044.6,2157.9,2472.6
6,321.2,1603.5,1746.1,633.0,1575.2,1866.3,1614.9,1772.5,307.0,1501.9,1592.4,1219.1,1630.0,1830.1,1507.3,1629.3,309.8,2071.8,2045.5,1827.4,1991.9,1714.1,1902.4,2145.0,311.0,2044.3,2005.5,1863.5,1972.5,1721.8,1856.7,1921.0,303.5,2091.0,2108.4,2080.4,2529.7,1937.7,2059.1,2297.7,312.5,1970.7,1990.1,2135.3,2553.4,2045.0,2165.2,2456.4
7,321.2,1603.5,1746.1,633.0,1575.2,1866.3,1614.9,1772.5,307.1,1500.8,1593.5,1220.2,1627.8,1828.2,1508.3,1627.4,309.8,2071.8,2045.5,1827.4,1991.9,1714.1,1902.4,2145.0,311.0,2044.3,2005.5,1863.5,1972.5,1721.8,1856.7,1921.0,303.5,2091.0,2108.4,2080.4,2529.7,1937.7,2059.1,2297.7,312.9,1972.5,1995.5,2139.0,2557.5,2044.6,2167.8,2456.4
8,321.2,1603.5,1746.1,633.0,1575.2,1866.3,1614.9,1772.5,307.1,1500.8,1593.5,1220.2,1627.8,1828.2,1508.3,1627.4,309.8,2071.8,2045.5,1827.4,1991.9,1714.1,1902.4,2145.0,311.0,2044.3,2005.5,1863.5,1972.5,1721.8,1856.7,1921.0,303.5,2091.0,2108.4,2080.4,2529.7,1937.7,2059.1,2297.7,312.9,1972.5,1995.5,2139.0,2557.5,2044.6,2167.8,2456.4
9,321.2,1603.5,1746.1,633.0,1575.2,1866.3,1614.9,1772.5,307.1,1500.8,1593.5,1220.2,1627.8,1828.2,1508.3,1627.4,309.8,2071.8,2045.5,1827.4,1991.9,1714.1,1902.4,2145.0,311.0,2044.3,2005.5,1863.5,1972.5,1721.8,1856.7,1921.0,303.5,2091.0,2108.4,2080.4,2529.7,1937.7,2059.1,2297.7,312.9,1972.5,1995.5,2139.0,2557.5,2044.6,2167.8,2456.4
