,slope,area trapz,area simpson,recovery_time
12e_E588_1,0.04463598583961829,7840.9,7841.258333333331,29.0
12e_E590_1,0.10059042204242291,10479.04999999999,10479.308333333325,92.0
12e_E591_1,0.4813664596273294,1018.8499999999998,1018.8916666666664,31.0
12e_CONTROL_1,0.07292732855680654,10502.6,10574.866666666669,57.0
12e_E592_1,0.0774476939082187,14295.499999999996,14296.041666666664,67.0
12e_E593_1,0.07332036510549154,6701.550000000007,6701.850000000005,49.0
12e_E594_1,0.0850318869576091,6371.7,6408.399999999999,68.0
12e_E588_2,0.04535833081342607,2999.8499999999976,3027.7666666666646,30.0
12e_E590_2,0.09390166701835831,16594.799999999996,16594.48333333333,89.0
12e_E591_2,0.10204081632653059,6253.800000000003,6266.400000000003,55.0
12e_CONTROL_2,0.07389411883793906,14964.599999999997,14964.924999999996,73.0
12e_E592_2,0.054685035229782304,20325.350000000006,20355.433333333338,52.0
12e_E593_2,0.0708502024291498,7192.399999999998,7239.533333333331,49.0
12e_E594_2,0.08354430379746836,6250.600000000008,6274.6000000000095,66.0
1e_E521_1,0.0837837837837838,28382.85000000002,28381.516666666685,93.0
1e_E522_1,0.07902795613948435,19972.099999999995,19972.066666666673,80.0
1e_E523_1,0.08595447246623217,26318.150000000012,26394.633333333335,91.0
1e_CONTROL_1,0.0767979761474521,19519.850000000006,19520.150000000012,85.0
1e_E524_1,0.08272231622485428,25556.09999999999,25555.07499999999,88.0
1e_E525_1,0.05154639175257732,18821.500000000007,18820.850000000002,48.0
1e_E526_1,0.07035097318846244,36011.399999999994,36010.283333333326,90.0
1e_E521_2,0.05838437978560489,35291.100000000006,35376.13333333333,61.0
1e_E522_2,0.07532751091703056,22061.100000000002,22060.533333333333,69.0
1e_E523_2,0.07888681932727074,25782.9,25782.61666666666,72.0
1e_CONTROL_2,0.08016599075733283,11416.699999999999,11428.799999999997,85.0
1e_E524_2,0.07386251723458735,25365.84999999999,25364.84166666666,75.0
1e_E525_2,0.061618512939887723,14163.550000000003,14154.900000000003,45.0
1e_E526_2,0.08632513110125052,22724.5,22726.450000000004,107.0
9e_E510_1,0.06602021869197443,22598.949999999997,22644.833333333332,64.0
9e_E513_1,0.058794708476237134,33055.600000000006,33054.81666666667,72.0
9e_E515_1,0.059601686291612145,76779.95,76810.43333333333,82.0
9e_CONTROL_1,0.0477788521699562,81339.19999999998,81358.73333333331,84.0
9e_E517_1,0.0655241935483871,31945.2,31944.175000000003,78.0
9e_E518_1,0.06734588154032117,28480.899999999994,28536.59999999999,78.0
9e_E520_1,0.05453306066803,60379.24999999999,60378.333333333314,96.0
9e_E510_2,0.061711338307082995,41662.299999999996,41662.15833333333,67.0
9e_E513_2,0.0857632933104631,96636.70000000001,96696.0,105.0
9e_E515_2,0.0697759823723834,96023.9,96023.09999999998,95.0
9e_CONTROL_2,0.060594818524701666,83255.5,83268.93333333332,98.0
9e_E517_2,0.07875349309848421,84982.6,84977.26666666663,93.0
9e_E518_2,0.0801192472517235,29961.500000000015,29979.33333333335,86.0
9e_E520_2,0.04772419688011966,35459.20000000001,35468.200000000004,67.0
